org.thymeleaf,thymeleaf-spring5,3.1.0.M1
io.whitesource,curekit,1.1.4
org.opencms,opencms-core,9.5.3
com.liferay,com.liferay.portal.template.freemarker,7.0.9
com.jfinal,jfinal,3.1
org.craftercms,crafter-studio,4.0.6
org.neo4j.procedure,apoc,4.4.0.9
commons-fileupload,commons-fileupload,1.5
com.clever-cloud,biscuit-java,2.2.1
org.springframework,spring-core,6.0.9
org.apache.dubbo,dubbo-cluster,3.2.6
net.minidev,json-smart,2.5.0
com.h2database,h2,2.2.222
org.postgresql,postgresql,9.4.1212.jre7
io.ratpack,ratpack-core,2.0.0-rc-1
org.bouncycastle,bcprov-jdk15on,1.70
com.linecorp.armeria,armeria,1.9.2
com.hubspot.jinjava,jinjava,2.7.1
com.alibaba,fastjson,2.0.9.graal
org.apache.nifi,nifi-security-utils,1.9.2
org.hibernate,hibernate-core,6.3.0.Final
org.jdom,jdom,2.0.2
org.apache.thrift,libthrift,0.9.3-1
com.linkedin.azkaban,azkaban-common,3.58.0
org.elasticsearch,elasticsearch,8.9.2
com.alibaba.nacos,nacos-api,2.2.4
com.alibaba.nacos,nacos-common,2.2.4
org.richfaces.core,richfaces-core-impl,4.3.7.Final
com.vaadin,flow-server,3.0.2
com.google.code.gson,gson,2.9.1
com.mitchellbosecke,pebble,2.4.0
com.bstek.ureport,ureport2-console,2.2.9
com.linecorp.centraldogma,centraldogma-server,0.62.1
org.springframework.cloud,spring-cloud-netflix-hystrix-dashboard,2.2.9.RELEASE
org.jsoup,jsoup,1.9.2
ch.qos.reload4j,reload4j,1.2.25
org.craftercms,crafter-engine,v2.5.0-Beta9
com.github.fracpete,vfsjfilechooser2,0.2.9
org.apereo.cas,cas-server-support-otp-mfa-core,6.6.9
org.rundeck,rundeck,4.9.0-rc4-20230109
com.alibaba.nacos,nacos-client,2.2.4
com.liferay.portal,com.liferay.portal.impl,9.1.0
com.github.jnr,jnr-posix,3.1.9
org.glassfish,jakarta.el,5.0.0-M1
io.pebbletemplates,pebble,3.0.0.BETA01
com.google.protobuf,protobuf-java,2.6.1
com.github.junrar,junrar,7.5.5
io.micronaut,micronaut-core,4.1.5
org.grails,grails-databinding,6.0.0-M4
org.mapfish.print,print-servlet,3.9.0
net.mingsoft,ms-mcms,5.1
org.mapfish.print,print-lib,3.9.0
com.googlecode.aviator,aviator,5.3.3
org.apache.ignite,ignite-core,2.12.0
io.ratpack,ratpack-session,2.0.0-rc-1
org.codehaus.mojo,exec-maven-plugin,3.1.0
org.springframework.security,spring-security-saml2-service-provider,6.1.3
org.apache.calcite,calcite-core,1.9.0
org.apache.dubbo,dubbo-common,3.2.6
com.epam.reportportal,service-api,5.8.0
org.opencastproject,opencast-common,9.9
com.fasterxml.jackson.core,jackson-databind,2.9.9.3
ca.uhn.hapi.fhir,hapi-fhir-base,0.7
com.vaadin,vaadin-compatibility-server,8.21.0
com.bmuschko,gradle-vagrant-plugin,3.0.0
cd.go.plugin,go-plugin-api,23.3.0
org.jdom,jdom2,2.0.6.1
org.glassfish,javax.el,3.0.1-b12
org.springframework.cloud,spring-cloud-openfeign-core,4.0.4
net.sf.mpxj,mpxj,9.8.3
org.springframework.cloud,spring-cloud-config-server,4.0.4
com.liferay,com.liferay.gogo.shell.web,5.0.9
org.jboss.remoting,jboss-remoting,4.0.17.Final-wildfly-1
com.netflix.conductor,conductor-core,3.9.2
org.bouncycastle,bcprov-ext-jdk15on,1.70
org.apache.nifi.registry,nifi-registry-web-api,1.23.2
com.mikesamuel,json-sanitizer,1.2.3
com.vaadin,vaadin-server,8.21.0
org.springframework.cloud,spring-cloud-gateway-server,4.0.7
com.rabbitmq.jms,rabbitmq-jms,3.1.0
org.apache.pdfbox,pdfbox,3.0.0
org.apache.commons,commons-compress,1.24.0
org.lucee,lucee,6.0.0.451-BETA
com.cronutils,cron-utils,9.2.1
